Unnamed: 0,Unnamed: 1
,
"NORTHEND WINNIPEG, MANITOBA NEIGBORHOOD AND POSTAL CODE",
,
POSTAL CODE,NAMES
R2W 1T9,Aberdeen Avenue
R2W 1V1,Aberdeen Avenue
R2W 1V2,Aberdeen Avenue
R2W 1V3,Aberdeen Avenue
R2W 1V4,Aberdeen Avenue
R2W 1V5,Aberdeen Avenue
R2W 1V6,Aberdeen Avenue
R2W 1V7,Aberdeen Avenue
R2W 1V8,Aberdeen Avenue
R2W 1W1,Aberdeen Avenue
R2W 1V9,Aberdeen Avenue
R2W 1W2,Aberdeen Avenue
R2W 1W3,Aberdeen Avenue
R2W 1W4,Aberdeen Avenue
R2W 1W5,Aberdeen Avenue
R2W 1W6,Aberdeen Avenue
R2W 1W7,Aberdeen Avenue
R2W 1W8,Aberdeen Avenue
R2W 1W9,Aberdeen Avenue
R2W 4E2,Aikins Street
R2W 4E3,Aikins Street
R2W 4E4,Aikins Street
R2W 4E5,Aikins Street
R2W 4E7,Aikins Street
R2W 4E6,Aikins Street
R2W 4E8,Aikins Street
R2W 4E9,Aikins Street
R2W 4G2,Aikins Street
R2W 4G1,Aikins Street
R2W 4G3,Aikins Street
R2W 2P6,Aikins Street
R2W 4G5,Aikins Street
R2W 4G6,Aikins Street
R2W 4G7,Aikins Street
R2W 4G9,Aikins Street
R2W 4H1,Aikins Street
R2W 4H2,Aikins Street
R2W 4H3,Aikins Street
R2W 4H4,Aikins Street
R2W 4H5,Aikins Street
R2W 4H6,Aikins Street
R2W 4H7,Aikins Street
R2W 4H8,Aikins Street
R2W 4H9,Aikins Street
R2W 4J1,Aikins Street
R2W 4J2,Aikins Street
R2W 4J3,Aikins Street
R2W 4J4,Aikins Street
R2W 4J5,Aikins Street
R2W 1X1,Alfred Avenue
R2W 1X2,Alfred Avenue
R2W 1X3,Alfred Avenue
R2W 1X4,Alfred Avenue
R2W 1X5,Alfred Avenue
R2W 1X6,Alfred Avenue
R2W 1X7,Alfred Avenue
R2W 1X8,Alfred Avenue
R2W 1X9,Alfred Avenue
R2W 1Y1,Alfred Avenue
R2W 1Y3,Alfred Avenue
R2W 1Y2,Alfred Avenue
R2W 1Y4,Alfred Avenue
R2W 1Y5,Alfred Avenue
R2W 1Y6,Alfred Avenue
R2W 1Y7,Alfred Avenue
R2W 1Y8,Alfred Avenue
R2W 1Y9,Alfred Avenue
R2W 1Z1,Alfred Avenue
R2W 5M9,Anderson Avenue
R2W 1E2,Anderson Avenue
R2W 1E3,Anderson Avenue
R2W 1E4,Anderson Avenue
R2W 1E5,Anderson Avenue
R2W 1E6,Anderson Avenue
R2W 1E7,Anderson Avenue
R2W 1E8,Anderson Avenue
R2W 1E9,Anderson Avenue
R2W 1G1,Anderson Avenue
R2W 1G2,Anderson Avenue
R2W 1G3,Anderson Avenue
R2W 1G4,Anderson Avenue
R2W 1G5,Anderson Avenue
R2W 1G6,Anderson Avenue
R2W 1G7,Anderson Avenue
R2W 4S2,Andrews Street
R2W 4S3,Andrews Street
R2W 4S4,Andrews Street
R2W 4S7,Andrews Street
R2W 4S8,Andrews Street
R2W 4T1,Andrews Street
R2W 4T2,Andrews Street
R2W 4T3,Andrews Street
R2W 4T4,Andrews Street
R2W 4T5,Andrews Street
R2W 4T6,Andrews Street
R2W 4T7,Andrews Street
R2W 4T8,Andrews Street
R2W 4T9,Andrews Street
R2W 4Y1,Andrews Street
R2W 2R3,Andrews Street
R2W 4V1,Andrews Street
R2W 4V2,Andrews Street
R2W 3G6,Angus Street
R2W 5M4,Angus Street
R2W 3G7,Angus Street
R2W 3J1,Annabella Street
R2W 3J9,Annabella Street
R2W 0P6,Atlantic Avenue
R2W 0P7,Atlantic Avenue
R2W 0P9,Atlantic Avenue
R2W 0P8,Atlantic Avenue
R2W 0R1,Atlantic Avenue
R2W 0R2,Atlantic Avenue
R2W 0R3,Atlantic Avenue
R2W 0R4,Atlantic Avenue
R2W 0R5,Atlantic Avenue
R2W 0R6,Atlantic Avenue
R2W 0R7,Atlantic Avenue
R2W 0R8,Atlantic Avenue
R2W 0R9,Atlantic Avenue
R2W 0S1,Atlantic Avenue
R2W 0S2,Atlantic Avenue
R2W 0S3,Atlantic Avenue
R2W 0S4,Atlantic Avenue
R2W 0S5,Atlantic Avenue
R2W 0S6,Atlantic Avenue
R2W 0S7,Atlantic Avenue
R2W 5N3,Austin Street North
R2W 3M4,Austin Street North
R2W 3M5,Austin Street North
R2W 3M6,Austin Street North
R2W 3M7,Austin Street North
R2W 3M8,Austin Street North
R2W 3M9,Austin Street North
R2W 3N1,Austin Street North
R2W 3N2,Austin Street North
R2W 3N3,Austin Street North
R2W 5L8,Austin Street North
R2W 0S9,Bannerman Avenue
R2W 0S8,Bannerman Avenue
R2W 0T1,Bannerman Avenue
R2W 0T2,Bannerman Avenue
R2W 0T3,Bannerman Avenue
R2W 0T4,Bannerman Avenue
R2W 0T6,Bannerman Avenue
R2W 0T8,Bannerman Avenue
R2W 0T7,Bannerman Avenue
R2W 0T9,Bannerman Avenue
R2W 0V1,Bannerman Avenue
R2W 0V2,Bannerman Avenue
R2W 0V3,Bannerman Avenue
R2W 0V4,Bannerman Avenue
R2W 0V5,Bannerman Avenue
R2W 0V6,Bannerman Avenue
R2W 0V7,Bannerman Avenue
R2W 0V8,Bannerman Avenue
R2W 0V9,Bannerman Avenue
R2W 0W1,Bannerman Avenue
R2W 0W2,Bannerman Avenue
R2W 0W3,Bannerman Avenue
R2W 0W4,Bannerman Avenue
R2W 3J6,Barber Street
R2W 3J7,Barber Street
R2W 3J8,Barber Street
R2W 3M1,Barber Street
R2W 3M2,Barber Street
R2W 1N9,Boyd Avenue
R2W 1N8,Boyd Avenue
R2W 1P1,Boyd Avenue
R2W 1P2,Boyd Avenue
R2W 1P4,Boyd Avenue
R2W 1P3,Boyd Avenue
R2W 1P5,Boyd Avenue
R2W 1P6,Boyd Avenue
R2W 1P7,Boyd Avenue
R2W 1P8,Boyd Avenue
R2W 1P9,Boyd Avenue
R2W 1R1,Boyd Avenue
R2W 1R2,Boyd Avenue
R2W 1R3,Boyd Avenue
R2W 1R4,Boyd Avenue
R2W 1R5,Boyd Avenue
R2W 1R6,Boyd Avenue
R2W 1R7,Boyd Avenue
R2W 1Z2,Burrows Avenue
R2W 1Z3,Burrows Avenue
R2W 1Z4,Burrows Avenue
R2W 1Z5,Burrows Avenue
R2W 1Z6,Burrows Avenue
R2W 1Z7,Burrows Avenue
R2W 1Z9,Burrows Avenue
R2W 1Z8,Burrows Avenue
R2W 2A1,Burrows Avenue
R2W 2A2,Burrows Avenue
R2W 2A3,Burrows Avenue
R2W 2A4,Burrows Avenue
R2W 2A5,Burrows Avenue
R2W 2A6,Burrows Avenue
R2W 2A7,Burrows Avenue
