,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2016 Census,,,
,,,
,,,
City of Winnipeg,,,
,,,
,,,
,,,
,,,
,,,
,,,
CONTENTS,,,
,,,
Note to Users . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,3
,,,
Total Population . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,2
Land Area and Population Density . . . . . . . . . . . . . . . . . . . . . . . .,,,2
Population By Age  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,3
Languages  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,,,4
Aboriginal People . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,5
Visible Minorities  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,5
Citizenship and Immigration . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,6
Religion . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,,,8
Marital Status . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,9
Education  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,,,9
Labour Force Activity  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,10
Mode of Transportation  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,11
Income . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,12
Low Income Measure (LIM) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,13
Households  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,,,14
Census Families . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,15
Dwellings  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,,16
Mobility . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,,,17
,,,
,,,
,,,
Non-Institutional population,"690,015",,
,,,
TOTAL POPULATION,,City Of Winnipeg,
Year,,Number 1,% Change 2
2016 Census,,"705,244",6.3%
2011 Census,,"663,617",4.8%
2006 Census,,"633,451",2.2%
2001 Census,,"619,544",0.2%
1996 Census,,"618,477",0.5%
1991 Census,,"615,215",3.5%
1986 Census3,,"594,555",5.3%
1981 Census3,,"564,475",0.6%
1976 Census3,,"560,875",4.8%
1971 Census3,,"535,100",
1 Includes the Institutional and Non-Institutional population. Source: Statistics Canada Census Data.,,,
2 Change in percent (%) from previous census year. ,,,
3 Headingley is included in Winnipeg figures up to 1986. ,,,
,,,
,,,
,,,
,,,
City Of Winnipeg,,Land Area,Population Density
,, (km2) 1,(per km2)
All,,475.2,"1,396.5"
Populated neighbourhoods only,,368.2,"1,802.3"
1 Source: The City of Winnipeg,,,
,,,
,,,
,,,
,,,
